iter	Passed	Remaining
0	110	43978
1	158	31561
2	196	26034
3	233	23132
4	278	21990
5	322	21156
6	360	20214
7	400	19610
8	446	19417
9	493	19242
10	539	19092
11	575	18600
12	609	18139
13	654	18052
14	697	17912
15	732	17590
16	768	17321
17	812	17244
18	857	17195
19	892	16962
20	939	16956
21	983	16895
22	1028	16855
23	1074	16833
24	1120	16812
25	1157	16643
26	1193	16483
27	1238	16451
28	1274	16308
29	1312	16184
30	1349	16064
31	1396	16061
32	1447	16096
33	1490	16040
34	1526	15923
35	1571	15890
36	1613	15825
37	1656	15776
38	1699	15729
39	1741	15673
40	1786	15644
41	1828	15582
42	1864	15477
43	1909	15452
44	1955	15424
45	1993	15340
46	2027	15224
47	2075	15222
48	2121	15194
49	2165	15156
50	2208	15110
51	2246	15032
52	2290	14996
53	2328	14919
54	2376	14908
55	2424	14892
56	2471	14874
57	2508	14789
58	2554	14765
59	2601	14739
60	2637	14656
61	2680	14613
62	2727	14588
63	2776	14578
64	2819	14529
65	2854	14446
66	2890	14368
67	2938	14347
68	2982	14307
69	3030	14285
70	3065	14204
71	3112	14177
72	3157	14142
73	3205	14119
74	3251	14091
75	3288	14018
76	3333	13984
77	3370	13914
78	3414	13874
79	3461	13846
80	3497	13775
81	3542	13736
82	3584	13692
83	3632	13664
84	3670	13603
85	3715	13566
86	3762	13534
87	3805	13490
88	3851	13457
89	3887	13391
90	3934	13358
91	3978	13317
92	4013	13249
93	4060	13216
94	4101	13166
95	4138	13104
96	4181	13061
97	4226	13025
98	4276	13001
99	4325	12975
100	4364	12920
101	4411	12889
102	4456	12850
103	4507	12829
104	4547	12775
105	4596	12748
106	4643	12716
107	4680	12653
108	4727	12620
109	4764	12560
110	4813	12533
111	4863	12505
112	4901	12449
113	4941	12397
114	4989	12366
115	5026	12307
116	5073	12272
117	5119	12235
118	5157	12178
119	5201	12137
120	5249	12103
121	5296	12070
122	5332	12009
123	5371	11956
124	5413	11909
125	5458	11869
126	5497	11817
127	5546	11786
128	5594	11752
129	5638	11711
130	5676	11657
131	5724	11621
132	5763	11570
133	5814	11541
134	5863	11510
135	5912	11477
136	5950	11423
137	5997	11385
138	6039	11340
139	6075	11283
140	6124	11249
141	6170	11210
142	6206	11153
143	6256	11121
144	6296	11073
145	6334	11020
146	6379	10979
147	6420	10932
148	6460	10882
149	6502	10837
150	6545	10793
151	6587	10747
152	6639	10718
153	6684	10678
154	6729	10637
155	6779	10604
156	6819	10555
157	6866	10516
158	6902	10462
159	6946	10420
160	6986	10371
161	7030	10329
162	7073	10284
163	7120	10246
164	7159	10196
165	7199	10148
166	7245	10109
167	7283	10057
168	7330	10019
169	7378	9982
170	7416	9931
171	7465	9895
172	7512	9856
173	7561	9820
174	7611	9786
175	7658	9747
176	7703	9705
177	7742	9656
178	7790	9618
179	7829	9569
180	7867	9518
181	7914	9479
182	7952	9430
183	7992	9382
184	8030	9332
185	8071	9286
186	8118	9247
187	8155	9196
188	8201	9156
189	8243	9111
190	8287	9068
191	8366	9064
192	8418	9029
193	8468	8991
194	8505	8941
195	8547	8896
196	8587	8849
197	8641	8815
198	8688	8775
199	8727	8727
200	8776	8689
201	8813	8639
202	8864	8602
203	8904	8555
204	8943	8506
205	8994	8470
206	9046	8435
207	9098	8399
208	9149	8361
209	9195	8320
210	9234	8271
211	9282	8231
212	9321	8183
213	9374	8147
214	9428	8112
215	9482	8077
216	9536	8041
217	9591	8007
218	9646	7972
219	9693	7931
220	9733	7883
221	9780	7842
222	9829	7801
223	9873	7758
224	9914	7711
225	9968	7674
226	10017	7634
227	10071	7597
228	10123	7559
229	10164	7512
230	10219	7476
231	10262	7431
232	10304	7385
233	10358	7348
234	10412	7310
235	10469	7275
236	10508	7227
237	10563	7190
238	10612	7148
239	10662	7108
240	10701	7060
241	10742	7013
242	10795	6974
243	10833	6926
244	10874	6879
245	10916	6833
246	10957	6787
247	10997	6740
248	11046	6698
249	11095	6657
250	11144	6615
251	11194	6574
252	11232	6526
253	11273	6479
254	11319	6436
255	11360	6390
256	11405	6346
257	11454	6304
258	11494	6257
259	11535	6211
260	11576	6165
261	11625	6123
262	11677	6083
263	11729	6042
264	11776	5999
265	11827	5958
266	11865	5910
267	11905	5863
268	11960	5824
269	12004	5779
270	12058	5739
271	12108	5698
272	12159	5656
273	12210	5615
274	12262	5574
275	12316	5533
276	12366	5491
277	12419	5450
278	12467	5407
279	12516	5364
280	12565	5321
281	12605	5274
282	12646	5228
283	12697	5186
284	12748	5144
285	12788	5097
286	12828	5050
287	12877	5008
288	12931	4966
289	12980	4923
290	13030	4880
291	13073	4835
292	13126	4793
293	13169	4748
294	13221	4705
295	13279	4665
296	13330	4622
297	13374	4577
298	13427	4535
299	13482	4494
300	13533	4451
301	13571	4404
302	13621	4360
303	13659	4313
304	13699	4267
305	13742	4221
306	13793	4178
307	13837	4133
308	13889	4090
309	13938	4046
310	13990	4003
311	14027	3956
312	14078	3913
313	14117	3866
314	14167	3822
315	14216	3779
316	14265	3735
317	14304	3688
318	14343	3642
319	14381	3595
320	14432	3551
321	14482	3508
322	14519	3461
323	14568	3417
324	14618	3373
325	14668	3329
326	14719	3286
327	14758	3239
328	14797	3193
329	14849	3149
330	14899	3106
331	14951	3062
332	14988	3015
333	15039	2971
334	15086	2927
335	15137	2883
336	15177	2837
337	15232	2794
338	15282	2750
339	15334	2706
340	15387	2662
341	15435	2617
342	15475	2571
343	15519	2526
344	15567	2481
345	15609	2436
346	15660	2391
347	15699	2345
348	15776	2305
349	15817	2259
350	15867	2215
351	15919	2170
352	15962	2125
353	16013	2080
354	16066	2036
355	16112	1991
356	16161	1946
357	16212	1902
358	16266	1857
359	16311	1812
360	16363	1767
361	16418	1723
362	16471	1678
363	16525	1634
364	16580	1589
365	16629	1544
366	16678	1499
367	16729	1454
368	16785	1410
369	16824	1364
370	16864	1318
371	16917	1273
372	16967	1228
373	17006	1182
374	17057	1137
375	17109	1092
376	17150	1046
377	17199	1001
378	17250	955
379	17302	910
380	17355	865
381	17407	820
382	17457	774
383	17505	729
384	17552	683
385	17601	638
386	17642	592
387	17683	546
388	17737	501
389	17786	456
390	17840	410
391	17890	365
392	17937	319
393	17985	273
394	18038	228
395	18077	182
396	18125	136
397	18176	91
398	18226	45
399	18276	0
